Datetime,Close,High,Low,Open,Volume
2023-08-09,177.7899932861328,178.9199981689453,177.77999877929688,178.67999267578125,4644000
2023-08-10,177.60000610351562,178.6999969482422,177.5399932861328,178.22000122070312,5934600
2023-08-11,177.60000610351562,178.36000061035156,177.49000549316406,177.6999969482422,5289700
2023-08-14,177.05999755859375,177.5800018310547,176.5800018310547,176.86000061035156,9554500
2023-08-15,176.58999633789062,177.42999267578125,176.3300018310547,176.75,7582700
2023-08-16,175.57000732421875,176.9499969482422,175.55999755859375,176.6199951171875,6559400
2023-08-17,175.3000030517578,176.55999755859375,174.92999267578125,176.52999877929688,7937700
2023-08-18,175.3300018310547,176.05999755859375,175.10000610351562,175.8300018310547,6253000
2023-08-21,175.80999755859375,175.94000244140625,174.9600067138672,175.89999389648438,4206400
2023-08-22,176.10000610351562,176.25,175.30999755859375,175.8300018310547,5892200
2023-08-23,177.88999938964844,178.22000122070312,177.07000732421875,177.32000732421875,7949100
2023-08-24,177.85000610351562,178.49000549316406,177.41000366210938,177.66000366210938,5526400
2023-08-25,177.6199951171875,178.3800048828125,176.6300048828125,177.5800018310547,6132800
2023-08-28,178.1300048828125,178.72999572753906,177.50999450683594,177.64999389648438,4740700
2023-08-29,179.8699951171875,179.8800048828125,177.89999389648438,178.02999877929688,7576600
2023-08-30,180.32000732421875,180.8800048828125,180.2899932861328,180.5800018310547,6593700
2023-08-31,180.02000427246094,180.49000549316406,179.94000244140625,180.3699951171875,4795600
2023-09-01,180.11000061035156,181.1199951171875,179.50999450683594,180.8000030517578,4970700
2023-09-05,178.63999938964844,179.44000244140625,178.63999938964844,179.3300018310547,7056800
2023-09-06,177.8300018310547,179.00999450683594,177.6999969482422,178.3300018310547,6427200
2023-09-07,178.02000427246094,178.3699951171875,177.89999389648438,178.30999755859375,3257200
2023-09-08,178.0800018310547,179.0500030517578,177.89999389648438,178.36000061035156,3292700
2023-09-11,178.41000366210938,179.07000732421875,178.25999450683594,178.97000122070312,3689100
2023-09-12,177.49000549316406,177.6999969482422,177.0500030517578,177.11000061035156,4445400
2023-09-13,177.0800018310547,177.75,177.0399932861328,177.52999877929688,3874800
2023-09-14,177.1699981689453,177.38999938964844,176.36000061035156,176.5,6184400
2023-09-15,178.33999633789062,179.11000061035156,178.33999633789062,178.5500030517578,5620900
2023-09-18,179.38999938964844,179.41000366210938,178.3800048828125,178.82000732421875,5049300
2023-09-19,179.22000122070312,179.64999389648438,179.02999877929688,179.5399932861328,4224700
2023-09-20,179.35000610351562,180.66000366210938,179.32000732421875,179.33999633789062,9328000
2023-09-21,178.0500030517578,178.49000549316406,177.69000244140625,177.86000061035156,7571900
2023-09-22,178.6199951171875,178.9499969482422,178.50999450683594,178.64999389648438,3634800
2023-09-25,177.6999969482422,178.7100067138672,177.63999938964844,178.41000366210938,5582100
